KEY,KO,EN

# 단어
MONDAY,월요일,Monday
TUESDAY,화요일,Tuesday
WEDNESDAY,수요일,Wednesday
THURSDAY,목요일,Thursday
FRIDAY,금요일,Friday
SATURDAY,토요일,Saturday
SUNDAY,일요일,Sunday
AM,오전,AM
PM,오후,PM
EXIT,종료,Exit
START,시작,Start
CANCLE,취소,Cancle
LANGUAGE,언어,Language
CONFIRM,확인,Confirm
SAVE,저장,Save
HOUR,시간,Hour
MINUTE,분,Minute
SECOND,초,Second
RESET,초기화,Reset
SETTING,설정,Setting
EMAIL,이메일,EMAIL
PASSWORD,비밀번호,PASSWORD
LOGIN,로그인,Login
REGISTER,가입하기,Register
CREATE_ACCOUNT,계정 만들기,Create an account
USERNAME,사용자명,USERNAME
DATE_BIRTH,생년월일,DATE OF BIRTH
YEAR,년,Year
MONTH,월,Month
DAY,일,Day
CONTINUE,계속하기,Continue
REQUIREMENTS,필수 요건,Requirements
NICKNAME,별명,NICKNAME
INVALID_VALUES,유효하지 않은 값,Invalid values
CONFIRM_PASSWORD,비밀번호 확인,Confirm password

# 문장
SIGNPAGE_HEADER_TITLE,돌아오신 것을 환영해요!,Welcome back!
SIGNPAGE_HEADER_SUBTITLE,다시 만나다니 너무 반가워요!,We're so excited to see you again!
SIGNPAGE_FORGOT_PASSWORD,비밀번호를 잊으셨나요?,Forgot your password?
SIGNPAGE_NEED_ACCOUNT,계정이 필요하신가요?,Need an account?
SIGNPAGE_ALREADY_ACCOUNT,이미 계정이 있으신가요?,Already have an account?
SIGNPAGE_LEGITIMATE_EMAIL_ADDRESS,정상적인 이메일 주소가 아닙니다.,This is not a legitimate email address.
SIGNPAGE_VALID_DATE_BIRTH,유효한 생년월일을 입력해주세요.,Please enter a valid date of birth.
SIGNPAGE_NICKNAME_TIP,다른 회원에게 표시되는 이름이에요. 특수 문자와 이모지를 사용할 수 있어요.,This is the name that other members will see. You can use special characters and emojis. special characters and emojis.
SIGNPAGE_USERNAME_TIP,"숫자, 문자, 밑줄 _, 마침표만 사용할 수 있습니다.","You can only use numbers, letters, underscores _, and periods."
SIGNPAGE_USERNAME_VALIDATION,사용할 수 있는 사용자명이에요. 멋지네요!,That's a username you can use. Cool!

SELECT_NO_SEARCH_RESULTS,검색 결과가 없어요.,No search results.
LEAST_CHARACTERS,최소 {{option}}자를 입력하세요.,Enter at least {{option}} characters.
MAXIMUM_CHARACTERS,최대 {{option}}자 이내로 입력하세요.,Enter a maximum of {{option}} characters.
BETWEEN_CHARACTERS,{{option}}~{{option}}자 사이로 입력해 주세요.,Please enter between {{option}} and {{option}} characters.
NOT_MATCH_PASSWORD,비밀번호가 일치하지 않습니다.,Password does not match.
# END
